"Symbol","Scientific.Name","Common.Name","BPS_MODEL","SWOPAG","Blue.Book.Plant.Association","P.A.Blue.Book.PAG.Name","Plant.Association","PAG.Name"
"QUAR","Quercus arizonica","Arizona white oak","10240_25_27",NA,NA,NA,NA,NA
"PIAR5","Pinus arizonica","Arizona pine","10240_25_27",NA,NA,NA,NA,NA
"PIEN2","Pinus engelmannii","Apache pine","10240_25_27",NA,NA,NA,NA,NA
"QUEM","Quercus emoryi","Emory oak","10240_25_27",NA,NA,NA,NA,NA
"PIST3","Pinus strobiformis","Southwestern white pine","10240_25_27",NA,NA,NA,NA,NA
"PILE","Pinus leiophylla","Chihuahuan pine","10240_25_27",NA,NA,NA,NA,NA
"QUERC","Quercus","Oak","10240_26",NA,NA,NA,NA,NA
"JUDE","Juncus debilis","Weak rush","10240_26",NA,NA,NA,NA,NA
"CEMO2","Cercocarpus montanus","Alderleaf mountain mahogany","10240_26",NA,NA,NA,NA,NA
"MUHLE","Muhlenbergia","Muhly","10240_26",NA,NA,NA,NA,NA
"PIPO","Pinus ponderosa","Ponderosa pine","10240_26",NA,NA,NA,NA,NA
"JUDE","Juncus debilis","Weak rush","10250_14_15_24_25_26",NA,NA,NA,NA,NA
"PIED","Pinus edulis","Twoneedle pinyon","10250_14_15_24_25_26",NA,NA,NA,NA,NA
"PIDI3","Pinus discolor","Border pinyon","10250_14_15_24_25_26",NA,NA,NA,NA,NA
"QUAR","Quercus arizonica","Arizona white oak","10250_14_15_24_25_26",NA,NA,NA,NA,NA
"QUEM","Quercus emoryi","Emory oak","10250_14_15_24_25_26",NA,NA,NA,NA,NA
"QUGR3","Quercus grisea","Gray oak","10250_14_15_24_25_26",NA,NA,NA,NA,NA
"QUOB","Quercus oblongifolia","Mexican blue oak","10250_14_15_24_25_26",NA,NA,NA,NA,NA
"PILE","Pinus leiophylla","Chihuahuan pine","10250_14_15_24_25_26",NA,NA,NA,NA,NA
"QUMO","Quercus mohriana","Mohr oak","10250_14_15_24_25_26",NA,NA,NA,NA,NA
"PSME","Pseudotsuga menziesii","Douglas-fir","10260_15",NA,NA,NA,NA,NA
"ABCO","Abies concolor","White fir","10260_15",NA,NA,NA,NA,NA
"QUHY","Quercus hypoleucoides","Silverleaf oak","10260_15",NA,NA,NA,NA,NA
"QURU4","Quercus rugosa","Netleaf oak","10260_15",NA,NA,NA,NA,NA
NA,NA,NA,"10270_2_3_7","1407","PSME-CADE27/BEPI2","Douglas-fir/Poison Oak-warm, often low elevation",NA,NA
NA,NA,NA,"10270_2_3_7","1407","PSME-PIPO/RHDI6","Douglas-fir/Poison Oak-warm, often low elevation",NA,NA
NA,NA,NA,"10270_2_3_7","1407","PSME-QUKE/RHDI6","Douglas-fir/Poison Oak-warm, often low elevation",NA,NA
NA,NA,NA,"10270_2_3_7","1407","PSME/DRY SHRUB","Douglas-fir/Poison Oak-warm, often low elevation",NA,NA
NA,NA,NA,"10270_2_3_7","1407","PSME/HODI/WHMO-SWO","Douglas-fir/Poison Oak-warm, often low elevation",NA,NA
NA,NA,NA,"10270_2_3_7","1408","PSME-ABCO/SYMO","Douglas-fir-Canyon Live Oak-cool, dry - SWO",NA,NA
NA,NA,NA,"10270_2_3_7","1408","PSME-QUCH2-LIDE3","Douglas-fir-Canyon Live Oak-cool, dry - SWO",NA,NA
NA,NA,NA,"10270_2_3_7","1408","PSME-QUCH2/BENE2","Douglas-fir-Canyon Live Oak-cool, dry - SWO",NA,NA
NA,NA,NA,"10270_2_3_7","1408","PSME-QUCH2/RHDI6","Douglas-fir-Canyon Live Oak-cool, dry - SWO",NA,NA
NA,NA,NA,"10270_2_3_7","1408","PSME/ACCI-BENE2","Douglas-fir-Canyon Live Oak-cool, dry - SWO",NA,NA
NA,NA,NA,"10270_2_3_7","1408","PSME/ARNE-SWO","Douglas-fir-Canyon Live Oak-cool, dry - SWO",NA,NA
NA,NA,NA,"10270_2_3_7","1408","PSME/BENE2/POMU","Douglas-fir-Canyon Live Oak-cool, dry - SWO",NA,NA
NA,NA,NA,"10270_2_3_7","1411","PSME-CADE27","Douglas-fir-Ultramafic - SWO",NA,NA
NA,NA,NA,"10270_2_3_7","1411","PSME-CADE27-PIJE","Douglas-fir-Ultramafic - SWO",NA,NA
NA,NA,NA,"10270_2_3_7","1411","PSME/QUVA","Douglas-fir-Ultramafic - SWO",NA,NA
"PIPO","Pinus ponderosa","Ponderosa pine","10270_4_5_6",NA,NA,NA,NA,NA
"PILA","Pinus lambertiana","Sugar pine","10270_4_5_6",NA,NA,NA,NA,NA
"QUKE","Quercus kelloggii","California black oak","10270_4_5_6",NA,NA,NA,NA,NA
"CADE27","Calocedrus decurrens","Incense cedar","10270_4_5_6",NA,NA,NA,NA,NA
"ABCO","Abies concolor","White fir","10270_4_5_6",NA,NA,NA,NA,NA
"","","","10270_4_5_6",NA,NA,NA,NA,NA
NA,NA,NA,"10280_2_3","1409","PSME-CACH6/BENE2","Douglas-fir-Chinquapin/Salal - SWO",NA,NA
NA,NA,NA,"10280_2_3","1409","PSME/GASH-BENE2","Douglas-fir-Chinquapin/Salal - SWO",NA,NA
NA,NA,NA,"10280_2_3","1409","PSME/RUSP/POMU","Douglas-fir-Chinquapin/Salal - SWO",NA,NA
NA,NA,NA,"10280_2_3","1409","PSME/GASH-RHMA3","Douglas-fir-Chinquapin/Salal - SWO",NA,NA
NA,NA,NA,"10280_2_3","1411","PSME/QUVA-ARNE/XETE","Douglas-fir-Ultramafic - SWO",NA,NA
NA,NA,NA,"10280_2_3","2001","ABCO-LIDE3/CHUM","White Fir - cool, dry",NA,NA
NA,NA,NA,"10280_2_3","2001","ABCO/ARNE","White Fir - cool, dry",NA,NA
NA,NA,NA,"10280_2_3","2001","ABCO/QUVA","White Fir - cool, dry",NA,NA
NA,NA,NA,"10280_2_3","2001","ABCO/XETE","White Fir - cool, dry",NA,NA
NA,NA,NA,"10280_2_3","2002","ABCO/ACCI/OXOR","White Fir/Pacific Rhododendron",NA,NA
NA,NA,NA,"10280_2_3","2002","ABCO/RHMA3-BENE2","White Fir/Pacific Rhododendron",NA,NA
NA,NA,NA,"10280_2_3","2002","ABCO/RHMA3-QUSA2","White Fir/Pacific Rhododendron",NA,NA
NA,NA,NA,"10280_2_3","2003","ABCO-CADE27/TRLA6","White Fir/Dwarf Oregongrape",NA,NA
NA,NA,NA,"10280_2_3","2003","ABCO/BENE2","White Fir/Dwarf Oregongrape",NA,NA
NA,NA,NA,"10280_2_3","2003","ABCO/BENE2/ACTR","White Fir/Dwarf Oregongrape",NA,NA
NA,NA,NA,"10280_2_3","2003","ABCO/BENE2/LIBOL","White Fir/Dwarf Oregongrape",NA,NA
NA,NA,NA,"10280_2_3","2004","ABCO-PSME/ROGY","White Fir-Douglas-fir - warm, dry",NA,NA
NA,NA,NA,"10280_2_3","2004","ABCO/SYMO","White Fir-Douglas-fir - warm, dry",NA,NA
NA,NA,NA,"10280_2_3","2004","PSME-ABCO","White Fir-Douglas-fir - warm, dry",NA,NA
NA,NA,NA,"10280_2_3","2006","ABCO-TSHE/BENE2/LIBOL","White Fir-Western Hemlock/Dwarf Oregongrape",NA,NA
NA,NA,NA,"10280_2_3","2006","ABCO/GASH-BENE2","White Fir-Western Hemlock/Dwarf Oregongrape",NA,NA
NA,NA,NA,"10280_2_3","2098","ABCO-ABMAS/ACTR","White Fir-Shasta Red Fir",NA,NA
NA,NA,NA,"10280_2_3","2098","ABCO-ABMAS/CHUM-ANDE3","White Fir-Shasta Red Fir",NA,NA
NA,NA,NA,"10280_2_3","2098","ABCO-ABMAS/QUSA2","White Fir-Shasta Red Fir",NA,NA
NA,NA,NA,"10280_2_3","2098","ABCO-PIBR/CHUM-PYPI2","White Fir-Shasta Red Fir",NA,NA
"ABCO","Abies concolor","White fir","10280_4_6_7_12",NA,NA,NA,NA,NA
"PSME","Pseudotsuga menziesii","Douglas-fir","10280_4_6_7_12",NA,NA,NA,NA,NA
"PILA","Pinus lambertiana","Sugar pine","10280_4_6_7_12",NA,NA,NA,NA,NA
"PIPO","Pinus ponderosa","Ponderosa pine","10280_4_6_7_12",NA,NA,NA,NA,NA
"CADE27","Calocedrus decurrens","Incense cedar","10280_4_6_7_12",NA,NA,NA,NA,NA
"PIJE","Pinus jeffreyi","Jeffrey pine","10280_4_6_7_12",NA,NA,NA,NA,NA
