"BPS_MODEL","Symbol","Scientific.Name","Common.Name"
"13110_50","QUAL","Quercus alba","White oak"
"13110_50","QUVE","Quercus velutina","Black oak"
"13110_50","QUEL","Quercus ellipsoidalis","Northern pin oak"
"13110_50","PRSE2","Prunus serotina","Black cherry"
"13110_50","QUMA2","Quercus macrocarpa","Bur oak"
"13110_51","QUAL","Quercus alba","White oak"
"13110_51","QUVE","Quercus velutina","Black oak"
"13110_51","QUEL","Quercus ellipsoidalis","Northern pin oak"
"13110_51","QUCO2","Quercus coccinea","Scarlet oak"
"13110_51","CAGL8","Carya glabra","Pignut hickory"
"13110_51","CADE12","Castanea dentata","American chestnut"
"13110_51","SAAL5","Sassafras albidum","Sassafras"
"13110_51","PRSE2","Prunus serotina","Black cherry"
"13620_41_50","PIBA2","Pinus banksiana","Jack pine"
"13620_41_50","PIRE","Pinus resinosa","Red pine"
"13620_41_50","QURU","Quercus rubra","Northern red oak"
"13620_41_50","POTR5","Populus tremuloides","Quaking aspen"
"13620_41_50","QUEL","Quercus ellipsoidalis","Northern pin oak"
"13620_41_50","PIST","Pinus strobus","Eastern white pine"
"13620_41_50","BEPA","Betula papyrifera","Paper birch"
"13620_51_63_64_65_66","PIRE","Pinus resinosa","Red pine"
"13620_51_63_64_65_66","PIST","Pinus strobus","Eastern white pine"
"13620_51_63_64_65_66","QURU","Quercus rubra","Northern red oak"
"13622_41_50","PIRE","Pinus resinosa","Red pine"
"13622_41_50","PIST","Pinus strobus","Eastern white pine"
"13622_41_50","BEPA","Betula papyrifera","Paper birch"
"13622_41_50","POTR5","Populus grandentitata","Bigtooth aspen"
"13622_41_50","ABBA","Abies balsamea","Balsam fir"
"13622_41_50","VAAN","Vaccinium angustifolium","Lowbush blueberry"
"13950_41_42_43_49_52","QUAL","Quercus alba","White oak"
"13950_41_42_43_49_52","QUEL","Quercus ellipsoidalis","Northern pin oak"
"13950_41_42_43_49_52","QUVE","Quercus velutina","Black oak"
"13950_41_42_43_49_52","ANGE","Andropogon gerardii","Big bluestem"
"13950_41_42_43_49_52","CORYL","Corylus","Hazelnut"
"13950_41_42_43_49_52","SCHIZ4","Schizachyrium","Little bluestem"
"13950_41_42_43_49_52","GABA","Gaylussacia baccata","Black huckleberry"
"13950_41_42_43_49_52","CAPE6","Carex pensylvanica","Pennsylvania sedge"
"13950_41_42_43_49_52_02","QUAL","Quercus alba","White oak"
"13950_41_42_43_49_52_02","QUEL","Quercus ellipsoidalis","Northern pin oak"
"13950_41_42_43_49_52_02","QUVE","Quercus velutina","Black oak"
"13950_41_42_43_49_52_02","ANGE","Andropogon gerardii","Big bluestem"
"13950_41_42_43_49_52_02","CORYL","Corylus","Hazelnut"
"13950_41_42_43_49_52_02","SCHIZ4","Schizachyrium","Little bluestem"
"13950_41_42_43_49_52_02","GABA","Gaylussacia baccata","Black huckleberry"
"13950_41_42_43_49_52_02","CAPE6","Carex pensylvanica","Pennsylvania sedge"
"13950_50","QUAL","Quercus alba","White oak"
"13950_50","QUEL","Quercus ellipsoidalis","Northern pin oak"
"13950_50","QUVE","Quercus velutina","Black oak"
"13950_50","ANGE","Andropogon gerardii","Big bluestem"
"13950_50","CORYL","Corylus","Hazelnut"
"13950_50","SCHIZ4","Schizachyrium","Little bluestem"
"13950_50","GABA","Gaylussacia baccata","Black huckleberry"
"13950_50","CAPE6","Carex pensylvanica","Pennsylvania sedge"
"13950_51","QUAL","Quercus alba","White oak"
"13950_51","QUEL","Quercus ellipsoidalis","Northern pin oak"
"13950_51","QUVE","Quercus velutina","Black oak"
"13950_51","ANGE","Andropogon gerardii","Big bluestem"
"13950_51","CORYL","Corylus","Hazelnut"
"13950_51","SCHIZ4","Schizachyrium","Little bluestem"
"13950_51","GABA","Gaylussacia baccata","Black huckleberry"
"13950_51","CAPE6","Carex pensylvanica","Pennsylvania sedge"
"14071_41_50_51","QUAL","Quercus alba","White oak"
"14071_41_50_51","QUEL","Quercus ellipsoidalis","Northern pin oak"
"14071_41_50_51","QURU","Quercus rubra","Northern red oak"
"14071_41_50_51","QUPA2","Quercus palustris","Pin oak"
"14071_41_50_51","QUVE","Quercus velutina","Black oak"
"14071_41_50_51","PIST","Pinus strobus","Eastern white pine"
"14071_41_50_51","PIBA2","Pinus banksiana","Jack pine"
"14071_41_50_51","PIRE","Pinus resinosa","Red pine"
"14072_41_50_51","PIBA2","Pinus banksiana","Jack pine"
"14072_41_50_51","CAPE6","Carex pensylvanica","Pennsylvania sedge"
"14072_41_50_51","QUEL","Quercus ellipsoidalis","Northern pin oak"
"14072_41_50_51","GAPR2","Gaultheria procumbens","Eastern teaberry"
"14072_41_50_51","VAAN","Vaccinium angustifolium","Lowbush blueberry"
"14072_41_50_51","DEFLF","Deschampsia (Avenella) flexuosa","Wiry hair grass"
"14072_41_50_51","PIRE","Pinus resinosa","Red pine"
"14072_41_50_51","ARUV","Arctostaphylos uva-ursi","Kinnikinnick"
